seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1375,25.285406,51.854785,2.050779,70.600,43.800,1,1,0.991689|0.980851,0.991689|0.980851|1.022556|0.970788,false
1376,46.593249,41.725489,0.895526,61.200,38.800,1,1,0.977729|1.029922,0.977729|1.029922|0.992837|1.054558,false
1377,22.835511,51.634561,2.261152,68.800,42.500,1,1,0.980536|0.944317,0.980536|0.944317|0.985430|1.021284,false
1378,25.874067,52.133818,2.014906,71.600,44.400,1,1,0.993852|0.982141,0.993852|0.982141|1.027336|1.021826,false
1379,24.192852,52.042881,2.151168,68.400,42.300,1,1,0.995497|0.977299,0.995497|0.977299|0.929883|1.021691,false
1380,46.333767,42.619503,0.919837,65.200,40.500,1,1,1.012854|1.034454,1.012854|1.034454|1.021336|1.021221,false
1381,21.581533,53.464725,2.477337,64.200,40.300,1,1,1.001157|0.953833,1.001157|0.953833|0.982930|1.018625,false
1382,22.376218,51.578265,2.305048,64.200,40.000,1,1,1.011502|0.969630,1.011502|0.969630|1.065612|0.934765,false
1383,26.482221,51.341784,1.938727,79.800,47.600,1,1,0.947517|0.940455,0.947517|0.940455|1.022097|1.007615,false
1384,46.339535,40.139882,0.866212,64.200,40.200,1,1,0.995388|1.024261,0.995388|1.024261|0.992672|1.043888,false
1385,18.966020,55.950317,2.950029,56.200,36.300,1,1,1.055643|0.952848,1.055643|0.952848|0.914671|1.030460,false
1386,46.150910,40.333570,0.873950,62.800,39.800,1,1,0.967563|1.014629,0.967563|1.014629|1.017651|1.004150,false
1387,47.345542,45.505241,0.961130,57.400,37.100,1,1,1.010430|1.069138,1.010430|1.069138|1.047820|1.042163,false
1388,26.789471,52.330113,1.953384,68.200,42.400,1,1,1.034434|1.019397,1.034434|1.019397|1.088353|0.919947,false
1389,47.474982,46.813682,0.986071,56.000,36.200,1,1,1.022169|1.084837,1.022169|1.084837|1.024826|1.001968,false
1390,19.456338,56.441159,2.900914,56.400,36.400,1,1,1.057338|0.963826,1.057338|0.963826|0.914476|0.895443,false
1391,45.231838,53.627150,1.185606,80.200,44.300,1,1,0.997098|0.994526,0.997098|0.994526|1.045783|1.078604,false
1392,44.528231,50.367920,1.131146,77.800,41.700,1,1,0.922946|0.939478,0.922946|0.939478|0.992406|1.026474,false
1393,46.083415,39.158227,0.849725,64.800,40.700,1,1,0.977184|1.009635,0.977184|1.009635|1.147115|1.038641,false
1394,20.662334,54.136969,2.620080,53.800,35.100,1,1,1.099603|1.020236,1.099603|1.020236|1.008357|0.944982,false
1395,46.429981,41.382637,0.891291,61.600,39.100,1,1,0.967693|1.024354,0.967693|1.024354|1.016263|1.017912,false
1396,47.299036,45.397629,0.959800,56.200,36.600,1,1,0.982843|1.067143,0.982843|1.067143|0.951632|0.995706,false
1397,47.030401,43.952063,0.934546,57.800,37.400,1,1,0.953766|1.043295,0.953766|1.043295|1.033426|0.989507,false
1398,26.428777,50.195670,1.899281,75.200,46.900,1,1,0.975558|0.966024,0.975558|0.966024|0.984799|0.986598,false
1399,21.194145,54.208863,2.557728,60.000,38.200,1,1,1.037470|0.977954,1.037470|0.977954|1.030130|1.032498,false
1400,30.654111,49.996102,1.630975,73.800,43.100,1,1,1.042212|1.045197,1.042212|1.045197|0.982117|1.032687,false
1401,25.866535,51.537331,1.992433,74.800,46.500,1,1,0.972179|0.958807,0.972179|0.958807|1.081804|1.023533,false
1402,46.514525,41.396677,0.889973,60.800,38.800,1,1,0.964135|1.025352,0.964135|1.025352|1.017932|0.999292,false
1403,19.174347,57.217925,2.984087,51.600,34.000,1,1,1.113743|1.000620,1.113743|1.000620|0.926736|0.994236,false
1404,47.177861,45.287243,0.959926,56.400,36.700,1,1,0.981733|1.064398,0.981733|1.064398|1.044495|0.942347,false
1405,26.332703,52.593784,1.997280,72.600,45.200,1,1,0.990120|0.985269,0.990120|0.985269|1.047958|0.956252,false
1406,23.419373,52.472397,2.240555,65.400,40.900,1,1,1.014186|0.980943,1.014186|0.980943|0.946825|0.983065,false
1407,46.376710,41.989948,0.905410,60.200,38.500,1,1,0.951674|1.024626,0.951674|1.024626|0.980115|1.072420,false
1408,46.488353,41.620282,0.895284,61.000,38.900,1,1,0.964449|1.023662,0.964449|1.023662|0.928552|1.000714,false
1409,46.234906,40.280402,0.871212,62.000,39.400,1,1,0.934807|1.006830,0.934807|1.006830|1.038547|0.961476,false
1410,27.830663,51.794623,1.861063,70.600,44.200,1,1,1.026239|1.021314,1.026239|1.021314|0.999629|1.012198,false
1411,46.903703,43.608066,0.929736,58.400,37.700,1,1,0.976377|1.046630,0.976377|1.046630|1.021642|1.022660,false
1412,46.279589,53.904665,1.164761,69.000,39.800,1,1,1.044320|1.048857,1.044320|1.048857|0.950397|0.961625,false
1413,20.631963,53.735898,2.604498,62.400,39.300,1,1,1.007952|0.945945,1.007952|0.945945|1.028744|0.945807,false
1414,45.731171,43.481249,0.950801,68.600,42.800,1,1,0.975280|0.997497,0.975280|0.997497|0.996992|0.917979,false
1415,16.933970,58.549576,3.457522,51.000,33.700,1,1,1.099299|0.942187,1.099299|0.942187|1.027902|0.948450,true
1416,46.762192,43.114024,0.921985,58.600,37.800,1,1,0.935936|1.030745,0.935936|1.030745|0.989336|1.052005,false
1417,46.542677,41.515350,0.891985,61.600,39.200,1,1,0.997075|1.034362,0.997075|1.034362|1.049484|1.053072,false
1418,27.337312,50.171617,1.835280,72.600,43.900,1,1,1.005684|0.998727,1.005684|0.998727|0.937016|0.957597,false
1419,26.737775,50.129928,1.874873,68.000,42.700,1,1,1.034988|1.019269,1.034988|1.019269|0.945003|0.976532,false
1420,45.958298,53.649233,1.167346,69.800,40.400,1,1,1.022219|1.030138,1.022219|1.030138|1.067170|1.029607,false
1421,46.166280,47.231337,1.023070,66.400,41.400,1,1,1.032707|1.038520,1.032707|1.038520|0.982998|0.932320,false
1422,24.152085,52.102920,2.157285,64.400,40.400,1,1,1.030007|1.005827,1.030007|1.005827|1.052981|1.017913,false
1423,24.803655,50.622910,2.040946,71.800,44.600,1,1,0.979236|0.962020,0.979236|0.962020|0.984934|0.980523,false
1424,46.558855,42.584456,0.914637,58.800,37.900,1,1,0.895686|1.014497,0.895686|1.014497|0.943464|0.869649,false
1425,23.002521,53.748788,2.336648,64.000,40.200,1,1,1.019720|0.985072,1.019720|0.985072|0.939039|1.023542,false
1426,31.034601,50.670994,1.632726,87.600,42.700,1,1,0.959142|0.959353,0.959142|0.959353|0.958784|1.041989,false
1427,45.778147,38.944182,0.850716,66.200,41.200,1,1,0.971264|1.002493,0.971264|1.002493|1.032575|1.010855,false
1428,45.783607,42.217946,0.922119,67.000,41.700,1,1,0.982282|1.007492,0.982282|1.007492|0.933133|0.963273,false
1429,43.671968,51.793338,1.185963,89.600,41.500,1,1,0.918521|0.922364,0.918521|0.922364|0.991892|1.050809,false
1430,22.293915,53.479583,2.398842,60.000,38.200,1,1,1.048633|1.002947,1.048633|1.002947|0.965648|1.015749,false
1431,23.386026,52.213543,2.232681,65.200,40.900,1,1,1.014303|0.983103,1.014303|0.983103|0.986807|0.990389,false
1432,23.576200,50.674313,2.149384,67.200,42.000,1,1,1.000651|0.971911,1.000651|0.971911|0.983758|1.063667,false
1433,25.432680,49.725163,1.955168,81.000,48.500,1,1,0.926979|0.917682,0.926979|0.917682|1.024670|0.991651,false
