seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1125,46.721498,42.389722,0.907285,60.400,38.600,1,1,0.983046|1.035625,0.983046|1.035625|0.927340|0.965781,false
1126,45.461521,55.149349,1.213100,75.800,39.900,1,1,0.998048|1.003242,0.998048|1.003242|1.052854|1.063172,false
1127,30.856747,50.489607,1.636258,84.000,43.500,1,1,0.982609|0.976486,0.982609|0.976486|0.901908|1.001315,false
1128,46.703539,41.661326,0.892038,61.600,39.100,1,1,1.019873|1.046506,1.019873|1.046506|0.985670|0.983442,false
1129,46.764718,43.226896,0.924348,59.400,38.100,1,1,0.989438|1.045080,0.989438|1.045080|0.946021|0.999781,false
1130,18.819335,58.354007,3.100748,59.400,37.800,1,1,1.020113|0.923768,1.020113|0.923768|0.947359|0.926617,true
1131,19.264396,55.102191,2.860312,57.600,37.000,1,1,1.043836|0.949333,1.043836|0.949333|1.027296|1.004669,false
1132,19.615737,54.657533,2.786412,60.200,38.200,1,1,1.019147|0.937456,1.019147|0.937456|1.040527|0.998023,false
1133,22.058109,52.059498,2.360107,55.600,36.000,1,1,1.094296|1.039168,1.094296|1.039168|1.022996|0.910603,false
1134,46.936925,44.426260,0.946510,56.800,36.900,1,1,0.957174|1.051638,0.957174|1.051638|1.002183|0.931251,false
1135,18.702020,56.388311,3.015092,56.800,36.600,1,1,1.045462|0.940673,1.045462|0.940673|1.025626|1.023623,true
1136,46.124326,51.132695,1.108584,69.200,40.800,1,1,1.021173|1.038297,1.021173|1.038297|0.961617|0.979434,false
1137,20.275294,56.253192,2.774470,52.600,34.500,1,1,1.113156|1.022229,1.113156|1.022229|0.979334|0.981740,false
1138,26.498938,50.371924,1.900904,74.600,45.400,1,1,0.980631|0.972461,0.980631|0.972461|0.968166|0.928117,false
1139,22.519441,52.873401,2.347900,64.600,40.500,1,1,1.007470|0.971708,1.007470|0.971708|0.971086|1.028097,false
1140,23.267444,51.492369,2.213065,67.000,42.100,1,1,0.997339|0.966906,0.997339|0.966906|0.996414|1.078502,false
1141,19.736803,54.148409,2.743525,56.600,36.500,1,1,1.058698|0.969779,1.058698|0.969779|1.061351|0.953206,false
1142,20.625846,56.017682,2.715897,60.000,38.200,1,1,1.031575|0.963578,1.031575|0.963578|0.962083|0.993820,false
1143,46.110415,39.199956,0.850132,64.800,40.600,1,1,0.976548|1.010297,0.976548|1.010297|1.103063|0.988364,false
1144,44.785692,48.099030,1.073982,75.000,42.400,1,1,0.950336|0.963548,0.950336|0.963548|1.029023|0.979263,false
1145,45.864994,39.735951,0.866368,63.400,40.000,1,1,0.928186|0.995773,0.928186|0.995773|0.959537|1.068978,false
1146,29.240122,51.401785,1.757920,82.400,43.500,1,1,0.966988|0.966027,0.966988|0.966027|0.977468|1.016562,false
1147,19.960506,54.788510,2.744846,57.200,36.800,1,1,1.054319|0.970531,1.054319|0.970531|1.023690|1.009774,false
1148,24.237040,51.757168,2.135457,66.000,41.400,1,1,1.015753|0.994965,1.015753|0.994965|1.025333|0.964823,false
1149,45.798908,39.368542,0.859596,63.000,39.900,1,1,0.905427|0.988352,0.905427|0.988352|1.000274|1.079054,false
1150,45.908417,42.692612,0.929952,66.400,41.500,1,1,0.988420|1.012046,0.988420|1.012046|1.005482|0.988570,false
1151,22.341551,52.882707,2.367011,58.000,37.000,1,1,1.072142|1.021130,1.072142|1.021130|1.056402|1.008210,false
1152,47.000434,44.484930,0.946479,56.800,36.900,1,1,0.956006|1.051985,0.956006|1.051985|0.940085|1.005386,false
1153,18.744113,57.924534,3.090279,61.600,38.900,1,1,0.997138|0.905822,0.997138|0.905822|0.936654|0.940797,true
1154,24.198686,51.085266,2.111076,67.400,42.200,1,1,1.003683|0.986045,1.003683|0.986045|1.015393|0.972003,false
1155,45.763207,40.869315,0.893061,66.800,41.600,1,1,0.984379|1.007413,0.984379|1.007413|0.896388|0.992554,false
1156,46.784228,43.134084,0.921979,58.600,37.800,1,1,0.935932|1.030988,0.935932|1.030988|1.004390|1.014492,false
