seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1294,19.839409,53.565079,2.699933,61.200,38.700,1,1,1.012607|0.935847,1.012607|0.935847|1.076965|1.024437,false
1295,24.499531,51.708197,2.110579,65.000,40.800,1,1,1.027070|1.007475,1.027070|1.007475|1.050916|1.025112,false
1296,46.184204,39.309042,0.851136,64.800,40.600,1,1,0.993600|1.017583,0.993600|1.017583|0.984227|1.082886,false
1297,45.587213,53.825906,1.180724,79.800,40.100,1,1,1.021308|1.019913,1.021308|1.019913|1.007907|1.046767,false
1298,27.236194,51.827320,1.902884,65.000,40.800,1,1,1.064318|1.057439,1.064318|1.057439|1.053992|1.010040,false
1299,23.943179,51.689651,2.158847,68.200,42.300,1,1,0.995514|0.972358,0.995514|0.972358|1.002487|0.980458,false
1300,18.825718,56.774429,3.015791,56.400,36.400,1,1,1.051565|0.947336,1.051565|0.947336|1.000565|0.970862,true
1301,19.871810,54.173522,2.726149,57.000,36.700,1,1,1.054804|0.968667,1.054804|0.968667|1.029861|0.956938,false
1302,24.969559,50.870382,2.037296,74.200,46.000,1,1,0.961249|0.953356,0.961249|0.953356|0.963846|1.050015,false
1303,19.933675,55.814707,2.800021,58.200,37.300,1,1,1.042271|0.961135,1.042271|0.961135|1.002260|1.016051,false
1304,46.905767,44.695632,0.952881,56.600,36.800,1,1,0.945517|1.048478,0.945517|1.048478|1.054758|1.002372,false
1305,21.659203,52.805743,2.438028,57.000,36.700,1,1,1.072663|1.015610,1.072663|1.015610|1.056472|1.045053,false
1306,25.577120,51.153715,1.999979,73.000,45.600,1,1,0.979560|0.967709,0.979560|0.967709|1.004940|0.978928,false
1307,45.605296,38.744987,0.849572,64.200,40.400,1,1,0.915736|0.985159,0.915736|0.985159|1.048203|1.026938,false
1308,46.515397,41.603825,0.894410,60.800,38.700,1,1,0.951799|1.021107,0.951799|1.021107|1.033791|1.015019,false
1309,24.186589,51.581385,2.132644,69.000,42.800,1,1,0.991697|0.970887,0.991697|0.970887|1.060344|0.947378,false
1310,46.694360,42.136034,0.902380,61.400,38.900,1,1,0.993178|1.037501,0.993178|1.037501|0.939807|1.025856,false
1311,46.072052,40.294028,0.874587,63.000,39.800,1,1,0.969454|1.015660,0.969454|1.015660|0.916773|0.977815,false
1312,45.244815,42.193538,0.932561,70.400,43.300,1,1,0.955032|0.978975,0.955032|0.978975|0.948482|0.945345,false
1313,46.122646,47.069386,1.020527,67.600,42.000,1,1,1.010665|1.020657,1.010665|1.020657|1.019575|0.951911,false
1314,46.265334,40.767768,0.881173,61.400,39.100,1,1,0.905457|0.999807,0.905457|0.999807|1.029387|0.951910,false
1315,44.989671,52.664034,1.170581,75.400,40.500,1,1,0.976814|0.983470,0.976814|0.983470|0.968750|0.934342,false
1316,20.988172,53.325641,2.540747,61.200,38.800,1,1,1.023296|0.963982,1.023296|0.963982|1.048377|0.986244,false
1317,23.870533,51.097006,2.140589,61.600,39.000,1,1,1.052302|1.024998,1.052302|1.024998|1.024085|1.002032,false
1318,24.387466,52.241530,2.142147,68.800,42.600,1,1,0.999662|0.972286,0.999662|0.972286|0.867133|0.957653,false
1319,19.804275,54.158840,2.734705,53.200,34.800,1,1,1.098687|1.002388,1.098687|1.002388|1.045002|1.042092,false
