seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1000,19.429416,54.491703,2.804598,54.800,35.600,1,1,1.075507|0.977135,1.075507|0.977135|1.053398|0.981070,false
1001,18.434284,55.995674,3.037583,56.800,36.600,1,1,1.042499|0.933565,1.042499|0.933565|1.035849|1.031571,true
1002,45.835523,47.169140,1.029096,68.800,42.100,1,1,0.998518|1.009196,0.998518|1.009196|1.006434|0.906796,false
1003,45.899108,40.036332,0.872268,66.000,41.200,1,1,0.972076|1.002847,0.972076|1.002847|0.955295|0.980873,false
1004,26.748235,51.839099,1.938038,67.800,42.800,1,1,1.035821|1.022935,1.035821|1.022935|1.022024|0.933485,false
1005,21.204554,53.678951,2.531482,58.800,37.700,1,1,1.049159|0.987013,1.049159|0.987013|0.978271|0.974786,false
1006,20.868667,54.128229,2.593756,62.600,39.400,1,1,1.008633|0.950272,1.008633|0.950272|1.026059|1.004833,false
1007,25.054663,50.180184,2.002828,69.400,43.200,1,1,0.998852|0.985173,0.998852|0.985173|0.981297|0.979449,false
1008,45.938984,44.122993,0.960469,68.000,42.000,1,1,0.990516|1.010395,0.990516|1.010395|0.991031|1.064393,false
1009,24.869400,51.403335,2.066931,62.600,39.600,1,1,1.053660|1.037161,1.053660|1.037161|0.957095|1.004202,false
1010,47.646131,47.314941,0.993049,55.400,36.000,1,1,1.042865|1.097482,1.042865|1.097482|1.023048|0.998964,false
1011,21.830912,53.456355,2.448654,62.400,39.400,1,1,1.021201|0.972041,1.021201|0.972041|0.984369|1.010979,false
1012,45.139577,53.705414,1.189763,73.800,40.600,1,1,0.983749|0.984893,0.983749|0.984893|1.025542|0.979948,false
1013,20.758307,54.186732,2.610364,64.200,40.200,1,1,0.994558|0.934084,0.994558|0.934084|0.988417|0.991159,false
1014,46.420106,43.473432,0.936522,64.400,40.500,1,1,1.020375|1.035821,1.020375|1.035821|1.095278|0.960141,false
1015,28.979453,49.818482,1.719097,78.200,43.900,1,1,0.987187|0.988075,0.987187|0.988075|1.043986|0.986375,false
1016,46.003995,50.809161,1.104451,68.800,41.300,1,1,1.016443|1.025406,1.016443|1.025406|1.039866|1.025076,false
1017,45.551844,52.087115,1.143469,72.800,40.700,1,1,1.003234|1.010413,1.003234|1.010413|0.989932|0.971610,false
1018,19.217792,54.509579,2.836412,57.000,36.700,1,1,1.049541|0.952914,1.049541|0.952914|1.022131|0.964313,false
1019,21.745708,55.101871,2.533919,61.600,39.000,1,1,1.028705|0.976622,1.028705|0.976622|0.940769|0.950058,false
1020,46.533650,42.423402,0.911671,60.000,38.400,1,1,0.963393|1.032489,0.963393|1.032489|1.091114|0.952186,false
1021,20.435806,53.871734,2.636144,65.600,40.900,1,1,0.979701|0.917901,0.979701|0.917901|1.008502|0.998393,false
1022,24.835231,51.059230,2.055919,63.600,40.000,1,1,1.048769|1.022551,1.048769|1.022551|1.004586|0.986415,false
1023,45.404855,43.548440,0.959114,70.200,42.900,1,1,0.969375|0.989305,0.969375|0.989305|0.955621|0.860689,false
1024,24.649429,51.667934,2.096111,66.200,41.300,1,1,1.019413|1.002481,1.019413|1.002481|0.965304|0.983980,false
1025,20.545127,56.465733,2.748376,59.600,38.000,1,1,1.035571|0.964983,1.035571|0.964983|0.932302|1.039986,false
1026,21.369686,53.624993,2.509395,61.400,38.800,1,1,1.025917|0.969298,1.025917|0.969298|1.010895|0.987238,false
