seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1044,19.632868,23.491994,1.196565,59.800,33.000,100,97,1.022920|0.940809,1.022920|0.940809|0.904803|1.005180,false
1045,23.739293,26.287074,1.107323,73.000,33.300,100,97,0.957820|0.936240,0.957820|0.936240|0.980129|0.954791,false
1046,46.922968,27.147203,0.578548,58.200,32.800,100,97,0.982206|1.049698,0.982206|1.049698|0.996613|1.064301,false
1047,20.539288,24.986471,1.216521,61.600,32.600,100,97,1.014423|0.949631,1.014423|0.949631|0.948220|1.046403,false
1048,23.414517,27.028116,1.154332,68.600,33.400,100,97,0.986883|0.960451,0.986883|0.960451|1.012365|0.987885,false
1049,44.758198,25.793658,0.576289,74.000,33.300,100,97,0.929805|0.950056,0.929805|0.950056|0.943386|1.023104,false
1050,45.689758,27.731466,0.606951,66.800,33.700,100,97,0.963124|0.995383,0.963124|0.995383|1.046458|1.053651,false
1051,46.499223,26.726283,0.574768,64.000,32.400,100,97,1.008263|1.034098,1.008263|1.034098|1.012695|1.032495,false
1052,31.299881,25.835980,0.825434,73.400,32.000,100,97,1.057538|1.055380,1.057538|1.055380|1.001886|1.095811,false
1053,46.710487,25.981112,0.556216,59.000,33.200,100,97,0.959977|1.036317,0.959977|1.036317|0.976942|0.906933,false
1054,46.637949,26.757904,0.573737,59.200,33.300,100,97,0.942508|1.028821,0.942508|1.028821|0.983761|1.000880,false
1055,24.077757,27.687564,1.149923,65.200,32.700,100,97,1.021310|0.998470,1.021310|0.998470|1.045920|1.064770,false
1056,25.680129,25.258529,0.983583,75.000,32.900,100,97,0.967976|0.956208,0.967976|0.956208|0.949797|1.028604,false
1057,48.381859,28.289116,0.584705,51.400,33.400,100,97,1.001979|1.116124,1.001979|1.116124|1.080365|1.124719,false
1058,46.925768,27.061749,0.576693,58.400,33.700,100,97,0.954821|1.040391,0.954821|1.040391|1.002158|0.920795,false
1059,45.974856,27.467814,0.597453,63.600,33.800,100,97,0.962828|1.009941,0.962828|1.009941|1.036779|0.972974,false
1060,45.528289,25.582042,0.561893,70.800,32.500,100,97,1.005605|1.011527,1.005605|1.011527|0.986775|0.977663,false
