seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1125,46.721498,24.555124,0.525564,60.400,32.700,100,97,0.983046|1.035625,0.983046|1.035625|0.927340|0.965781,false
1126,45.461521,27.808091,0.611684,75.800,33.400,100,97,0.998048|1.003242,0.998048|1.003242|1.052854|1.063172,false
1127,30.856747,23.911159,0.774909,84.000,33.000,100,97,0.982609|0.976486,0.982609|0.976486|0.901908|1.001315,false
1128,46.703539,25.418753,0.544258,61.600,32.700,100,97,1.019873|1.046506,1.019873|1.046506|0.985670|0.983442,false
1129,46.764718,24.607021,0.526188,59.400,32.600,100,97,0.989438|1.045080,0.989438|1.045080|0.946021|0.999781,false
1130,18.819335,24.995463,1.328180,59.400,33.800,100,97,1.020113|0.923768,1.020113|0.923768|0.947359|0.926617,false
1131,19.264396,26.097906,1.354722,57.600,32.400,100,97,1.043836|0.949333,1.043836|0.949333|1.027296|1.004669,false
1132,19.615737,27.263393,1.389873,60.200,33.000,100,97,1.019147|0.937456,1.019147|0.937456|1.040527|0.998023,false
1133,22.058109,25.153113,1.140311,55.600,32.500,100,97,1.094296|1.039168,1.094296|1.039168|1.022996|0.910603,false
1134,46.936925,26.872774,0.572529,56.800,33.400,100,97,0.957174|1.051638,0.957174|1.051638|1.002183|0.931251,false
1135,18.702020,25.889650,1.384324,56.800,32.700,100,97,1.045462|0.940673,1.045462|0.940673|1.025626|1.023623,false
1136,46.124326,25.142815,0.545110,69.200,32.800,100,97,1.021173|1.038297,1.021173|1.038297|0.961617|0.979434,false
1137,20.275294,25.200927,1.242938,52.600,32.500,100,97,1.113156|1.022229,1.113156|1.022229|0.979334|0.981740,false
1138,26.498938,25.033597,0.944702,74.600,33.100,100,97,0.980631|0.972461,0.980631|0.972461|0.968166|0.928117,false
1139,22.519441,25.693640,1.140954,64.600,32.800,100,97,1.007470|0.971708,1.007470|0.971708|0.971086|1.028097,false
1140,23.267444,26.373173,1.133480,67.000,32.400,100,97,0.997339|0.966906,0.997339|0.966906|0.996414|1.078502,false
1141,19.736803,27.276699,1.382022,56.600,33.000,100,97,1.058698|0.969779,1.058698|0.969779|1.061351|0.953206,false
1142,20.625846,25.325646,1.227860,60.000,33.000,100,97,1.031575|0.963578,1.031575|0.963578|0.962083|0.993820,false
1143,46.110415,28.137061,0.610211,64.800,34.000,100,97,0.976548|1.010297,0.976548|1.010297|1.103063|0.988364,false
1144,44.785692,26.547288,0.592763,75.000,34.100,100,97,0.950336|0.963548,0.950336|0.963548|1.029023|0.979263,false
1145,45.864994,26.170291,0.570594,63.400,33.000,100,97,0.928186|0.995773,0.928186|0.995773|0.959537|1.068978,false
1146,29.240122,25.891136,0.885466,82.400,32.700,100,97,0.966988|0.966027,0.966988|0.966027|0.977468|1.016562,false
1147,19.960506,25.504203,1.277733,57.200,32.700,100,97,1.054319|0.970531,1.054319|0.970531|1.023690|1.009774,false
1148,24.237040,26.851519,1.107871,66.000,32.800,100,97,1.015753|0.994965,1.015753|0.994965|1.025333|0.964823,false
1149,45.798908,27.397921,0.598222,63.000,33.900,100,97,0.905427|0.988352,0.905427|0.988352|1.000274|1.079054,false
1150,45.908417,27.051767,0.589255,66.400,32.900,100,97,0.988420|1.012046,0.988420|1.012046|1.005482|0.988570,false
1151,22.341551,26.512035,1.186669,58.000,32.300,100,97,1.072142|1.021130,1.072142|1.021130|1.056402|1.008210,false
1152,47.000434,25.559532,0.543815,56.800,32.500,100,97,0.956006|1.051985,0.956006|1.051985|0.940085|1.005386,false
1153,18.744113,24.437270,1.303730,61.600,33.500,100,97,0.997138|0.905822,0.997138|0.905822|0.936654|0.940797,false
1154,24.198686,26.502971,1.095224,67.400,32.600,100,97,1.003683|0.986045,1.003683|0.986045|1.015393|0.972003,false
1155,45.763207,23.701372,0.517913,66.800,32.500,100,97,0.984379|1.007413,0.984379|1.007413|0.896388|0.992554,false
1156,46.784228,27.289511,0.583306,58.600,33.600,100,97,0.935932|1.030988,0.935932|1.030988|1.004390|1.014492,false
1157,44.496554,26.540657,0.596465,78.800,33.400,100,97,0.934813|0.945571,0.934813|0.945571|0.975548|1.007917,false
1158,23.122538,26.067215,1.127351,60.600,32.500,100,97,1.053633|1.015752,1.053633|1.015752|1.045685|0.954498,false
1159,46.100009,27.729118,0.601499,67.200,33.800,100,97,1.012731|1.021404,1.012731|1.021404|1.103392|0.931110,false
1160,45.688814,26.342217,0.576557,71.800,32.600,100,97,1.000199|1.003677,1.000199|1.003677|0.999572|1.030841,false
1161,22.777458,27.267271,1.197117,68.200,33.100,100,97,0.983493|0.948011,0.983493|0.948011|1.022611|1.018916,false
1162,19.557250,25.533493,1.305577,60.000,32.900,100,97,1.021093|0.937691,1.021093|0.937691|1.007204|1.004626,false
1163,18.610030,25.421783,1.366026,56.000,32.700,100,97,1.054448|0.945108,1.054448|0.945108|1.029134|0.943764,false
1164,45.776598,27.096115,0.591921,63.600,33.700,100,97,0.932770|0.995665,0.932770|0.995665|1.004465|0.986966,false
1165,45.265138,25.597923,0.565511,73.000,32.900,100,97,0.983629|0.989664,0.983629|0.989664|0.957125|0.964247,false
1166,46.509055,27.390719,0.588933,60.000,33.400,100,97,0.961660|1.030986,0.961660|1.030986|1.026874|0.984417,false
1167,47.440204,25.015683,0.527310,55.600,32.400,100,97,1.015620|1.082569,1.015620|1.082569|0.937613|0.998646,false
1168,23.270574,24.986422,1.073735,64.800,32.900,100,97,1.013680|0.986489,1.013680|0.986489|0.973618|0.976261,false
1169,46.850036,26.734143,0.570632,57.400,32.900,100,97,0.942471|1.042957,0.942471|1.042957|0.971811|1.047239,false
1170,22.625762,25.983231,1.148391,61.000,32.600,100,97,1.042817|1.001950,1.042817|1.001950|1.010657|1.004681,false
1171,46.575871,24.952704,0.535743,64.000,32.400,100,97,1.023468|1.042331,1.023468|1.042331|0.941307|1.034697,false
1172,23.171385,24.792634,1.069968,58.800,33.000,100,97,1.071865|1.033527,1.071865|1.033527|0.980239|0.899628,false
1173,45.489251,28.090434,0.617518,67.400,34.500,100,97,0.946472|0.984646,0.946472|0.984646|1.042164|1.018555,false
1174,22.834522,24.693616,1.081416,63.400,33.000,100,97,1.022774|0.987905,1.022774|0.987905|0.972517|0.945384,false
1175,21.305688,24.811354,1.164541,62.200,32.900,100,97,1.016697|0.962174,1.016697|0.962174|0.985564|0.999860,false
1176,20.884877,27.349543,1.309538,60.200,33.400,100,97,1.031952|0.968408,1.031952|0.968408|1.049624|0.924519,false
1177,46.097648,26.715639,0.579545,62.400,33.300,100,97,0.949925|1.008918,0.949925|1.008918|0.978217|1.027319,false
1178,45.985425,26.800453,0.582803,63.800,33.500,100,97,0.962982|1.009475,0.962982|1.009475|1.007050|0.963489,false
1179,47.282350,27.284523,0.577055,55.200,33.000,100,97,0.944406|1.059541,0.944406|1.059541|0.982602|1.105021,false
1180,46.705326,25.939767,0.555392,61.400,32.900,100,97,1.013689|1.044818,1.013689|1.044818|1.011233|0.913065,false
