seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1250,46.373507,26.379636,0.568851,64.000,32.500,100,97,1.003363|1.025578,1.003363|1.025578|0.999359|0.979618,false
1251,45.908884,25.784353,0.561642,65.000,32.900,100,97,0.961082|1.000174,0.961082|1.000174|0.951885|0.982084,false
1252,22.937647,27.737955,1.209276,63.800,33.500,100,97,1.018821|0.987913,1.018821|0.987913|1.083572|0.995153,false
1253,47.150287,26.045746,0.552398,61.000,32.100,100,97,1.060308|1.078623,1.060308|1.078623|1.017288|1.016240,false
1254,20.033508,27.123616,1.353912,65.200,33.600,100,97,0.977694|0.912248,0.977694|0.912248|1.024765|1.024545,false
1255,45.918595,27.901052,0.607620,67.800,33.800,100,97,0.993153|1.006954,0.993153|1.006954|1.076622|0.919105,false
1256,47.494831,25.074169,0.527935,55.400,32.500,100,97,0.975830|1.071125,0.975830|1.071125|0.942637|1.008076,false
1257,20.094955,27.662004,1.376565,59.800,33.600,100,97,1.029207|0.951157,1.029207|0.951157|1.083445|0.963595,false
1258,19.889676,24.149524,1.214174,56.000,32.600,100,97,1.066418|0.978874,1.066418|0.978874|0.929814|1.037863,false
1259,23.667188,25.699932,1.085889,72.000,33.200,100,97,0.964212|0.940414,0.964212|0.940414|0.966147|0.958618,false
1260,47.875440,25.980240,0.542663,51.000,33.100,100,97,0.935086|1.095843,0.935086|1.095843|0.954189|1.024373,false
1261,46.050257,25.198673,0.547199,67.400,32.800,100,97,0.986937|1.012586,0.986937|1.012586|0.932387|1.052211,false
1262,19.330111,25.872110,1.338436,55.400,32.300,100,97,1.067511|0.969128,1.067511|0.969128|1.039969|1.010572,false
1263,45.949550,27.388323,0.596052,62.000,35.500,100,97,0.886171|0.987602,0.886171|0.987602|1.017078|0.980928,false
1264,46.505660,24.210649,0.520596,64.200,32.900,100,97,1.005559|1.035863,1.005559|1.035863|0.934100|0.929764,false
1265,46.651246,26.092054,0.559300,59.600,32.200,100,97,0.978912|1.041467,0.978912|1.041467|0.984580|1.029916,false
1266,20.632737,27.060933,1.311553,61.400,32.700,100,97,1.017726|0.953614,1.017726|0.953614|1.036950|0.991250,false
1267,22.217706,25.660013,1.154935,60.000,32.500,100,97,1.046797|1.002492,1.046797|1.002492|1.022682|0.952920,false
1268,23.184347,27.231458,1.174562,62.200,32.600,100,97,1.036550|1.005000,1.036550|1.005000|1.042608|0.993352,false
1269,25.443674,26.867725,1.055969,68.200,32.800,100,97,1.014209|0.998801,1.014209|0.998801|1.031905|0.968800,false
1270,24.879759,24.164294,0.971243,69.800,32.900,100,97,0.993478|0.979608,0.993478|0.979608|0.940634|0.996673,false
1271,20.379142,28.412227,1.394182,73.800,36.300,100,97,0.917696|0.867707,0.917696|0.867707|1.083105|0.838467,false
1272,23.839377,25.230960,1.058373,55.800,32.200,100,97,1.111910|1.081256,1.111910|1.081256|1.018296|0.984947,false
1273,25.048958,26.841559,1.071564,69.600,32.600,100,97,1.001505|0.977790,1.001505|0.977790|1.013339|1.039342,false
1274,45.481343,27.291042,0.600049,67.000,33.800,100,97,0.944672|0.987106,0.944672|0.987106|1.026010|1.028280,false
1275,45.373865,27.426010,0.604445,72.000,33.900,100,97,0.964000|0.978040,0.964000|0.978040|1.026894|1.036770,false
1276,20.875293,24.067628,1.152924,54.400,32.900,100,97,1.095205|1.019358,1.095205|1.019358|0.926273|0.978576,false
1277,19.681685,25.761404,1.308902,61.000,32.800,100,97,1.012145|0.933157,1.012145|0.933157|1.007517|0.990960,false
1278,25.953438,23.587415,0.908836,70.800,32.800,100,97,1.000435|0.989064,1.000435|0.989064|0.891756|1.016725,false
1279,45.969522,27.202975,0.591761,65.800,33.000,100,97,0.987985|1.014564,0.987985|1.014564|1.025390|0.993885,false
