seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1375,25.285406,26.713228,1.056468,70.600,33.100,100,97,0.991689|0.980851,0.991689|0.980851|1.022556|0.970788,false
1376,46.593249,26.508096,0.568926,61.200,32.600,100,97,0.977729|1.029922,0.977729|1.029922|0.992837|1.054558,false
1377,22.835511,26.013301,1.139160,68.800,33.100,100,97,0.980536|0.944317,0.980536|0.944317|0.985430|1.021284,false
1378,25.874067,27.316637,1.055754,71.600,33.300,100,97,0.993852|0.982141,0.993852|0.982141|1.027336|1.021826,false
1379,24.192852,24.287869,1.003927,68.400,32.800,100,97,0.995497|0.977299,0.995497|0.977299|0.929883|1.021691,false
1380,46.333767,26.446934,0.570792,65.200,32.700,100,97,1.012854|1.034454,1.012854|1.034454|1.021336|1.021221,false
1381,21.581533,25.631777,1.187672,64.200,32.700,100,97,1.001157|0.953833,1.001157|0.953833|0.982930|1.018625,false
1382,22.376218,27.800923,1.242432,64.200,33.900,100,97,1.011502|0.969630,1.011502|0.969630|1.065612|0.934765,false
1383,26.482221,27.049273,1.021413,79.800,34.200,100,97,0.947517|0.940455,0.947517|0.940455|1.022097|1.007615,false
1384,46.339535,26.247439,0.566416,64.200,32.400,100,97,0.995388|1.024261,0.995388|1.024261|0.992672|1.043888,false
1385,18.966020,23.754508,1.252477,56.200,32.800,100,97,1.055643|0.952848,1.055643|0.952848|0.914671|1.030460,false
1386,46.150910,27.284835,0.591209,62.800,33.300,100,97,0.967563|1.014629,0.967563|1.014629|1.017651|1.004150,false
1387,47.345542,27.981893,0.591014,57.400,32.700,100,97,1.010430|1.069138,1.010430|1.069138|1.047820|1.042163,false
1388,26.789471,27.969584,1.044051,68.200,33.400,100,97,1.034434|1.019397,1.034434|1.019397|1.088353|0.919947,false
1389,47.474982,27.205409,0.573047,56.000,31.900,100,97,1.022169|1.084837,1.022169|1.084837|1.024826|1.001968,false
1390,19.456338,23.332120,1.199204,56.400,33.300,100,97,1.057338|0.963826,1.057338|0.963826|0.914476|0.895443,false
1391,45.231838,27.749477,0.613494,80.200,33.000,100,97,0.997098|0.994526,0.997098|0.994526|1.045783|1.078604,false
1392,44.528231,26.658200,0.598681,77.800,34.100,100,97,0.922946|0.939478,0.922946|0.939478|0.992406|1.026474,false
1393,46.083415,29.767999,0.645959,64.800,34.500,100,97,0.977184|1.009635,0.977184|1.009635|1.147115|1.038641,false
1394,20.662334,25.386420,1.228633,53.800,32.700,100,97,1.099603|1.020236,1.099603|1.020236|1.008357|0.944982,false
1395,46.429981,27.315690,0.588320,61.600,33.300,100,97,0.967693|1.024354,0.967693|1.024354|1.016263|1.017912,false
1396,47.299036,25.133197,0.531368,56.200,32.800,100,97,0.982843|1.067143,0.982843|1.067143|0.951632|0.995706,false
1397,47.030401,27.661870,0.588170,57.800,33.900,100,97,0.953766|1.043295,0.953766|1.043295|1.033426|0.989507,false
1398,26.428777,26.149553,0.989435,75.200,33.300,100,97,0.975558|0.966024,0.975558|0.966024|0.984799|0.986598,false
