seed,combat,ratio,rout,left,winner,flank_wins
1125,23.200000,0.306069,76.804861,60.547216,red_b,true
1126,20.900000,0.275726,76.210973,60.577504,red_b,true
1127,23.100000,0.304749,76.565131,57.702368,red_b,true
1128,22.000000,0.290237,76.292398,59.778851,red_b,true
1129,22.900000,0.302111,76.745201,60.640509,red_b,true
1130,21.500000,0.283641,76.127065,55.023554,red_b,true
1131,20.400000,0.269129,75.780804,55.982925,red_b,true
1132,20.400000,0.269129,75.984229,57.157501,red_b,true
1133,20.300000,0.267810,75.256754,54.411619,red_b,true
1134,22.300000,0.294195,76.936101,63.667760,red_b,true
1135,20.400000,0.269129,75.766795,55.886598,red_b,true
1136,21.900000,0.288918,76.100449,57.482093,red_b,true
1137,20.600000,0.271768,75.164154,52.106444,red_b,true
1138,22.000000,0.290237,76.400687,58.557895,red_b,true
1139,21.500000,0.283641,76.109779,56.788176,red_b,true
1140,21.300000,0.281003,76.190115,58.037860,red_b,true
1141,19.900000,0.262533,75.618427,55.859918,red_b,true
1142,21.400000,0.282322,75.911080,55.564400,red_b,true
1143,20.600000,0.271768,76.538223,63.235576,red_b,true
1144,21.500000,0.283641,76.725081,62.253053,red_b,true
1145,23.100000,0.304749,77.170427,63.313166,red_b,true
1146,22.000000,0.290237,76.543814,59.483770,red_b,true
1147,20.400000,0.269129,75.689836,55.567310,red_b,true
1148,20.900000,0.275726,75.956023,58.298926,red_b,true
1149,22.600000,0.298153,77.343023,65.401935,red_b,true
1150,21.700000,0.286280,76.543245,60.897580,red_b,true
1151,20.100000,0.265172,75.468002,55.777782,red_b,true
1152,23.400000,0.308707,77.020648,62.797872,red_b,true
1153,21.900000,0.288918,76.312858,55.614941,red_b,true
1154,21.100000,0.278364,76.029396,58.007668,red_b,true
1155,23.500000,0.310026,76.711271,58.825305,red_b,true
1156,22.400000,0.295515,77.078207,64.514205,red_b,true
1157,22.300000,0.294195,77.003438,61.648904,red_b,true
1158,20.300000,0.267810,75.710221,56.661102,red_b,true
1159,20.300000,0.267810,76.169695,61.231419,red_b,true
1160,21.600000,0.284960,76.258627,59.673944,red_b,true
1161,21.000000,0.277045,76.189646,58.864598,red_b,true
1162,20.800000,0.274406,75.983150,56.550262,red_b,true
1163,20.300000,0.267810,75.707675,55.155704,red_b,true
1164,22.300000,0.294195,77.059974,64.177672,red_b,true
1165,22.400000,0.295515,76.568832,59.952281,red_b,true
1166,21.900000,0.288918,76.817493,63.387681,red_b,true
1167,22.900000,0.302111,76.471276,59.905905,red_b,true
1168,21.500000,0.283641,76.072288,56.477728,red_b,true
1169,22.900000,0.302111,77.112371,63.336822,red_b,true
1170,20.800000,0.274406,75.782491,56.485470,red_b,true
1171,22.400000,0.295515,76.264613,58.022975,red_b,true
1172,21.100000,0.278364,75.521946,54.717976,red_b,true
1173,21.500000,0.283641,76.852310,63.358229,red_b,true
1174,21.400000,0.282322,76.008143,56.339194,red_b,true
1175,21.200000,0.279683,76.027286,56.670992,red_b,true
1176,20.300000,0.267810,75.755581,57.137043,red_b,true
1177,22.600000,0.298153,77.024807,63.048180,red_b,true
1178,22.000000,0.290237,76.843158,62.691720,red_b,true
1179,22.800000,0.300792,77.027709,64.241944,red_b,true
1180,21.600000,0.284960,76.441363,60.682013,red_b,true
1181,21.200000,0.279683,75.976287,57.613817,red_b,true
1182,21.400000,0.282322,76.361291,57.689152,red_b,true
1183,20.700000,0.273087,75.095913,51.674675,red_b,true
1184,21.300000,0.281003,75.904856,55.099078,red_b,true
1185,21.000000,0.277045,76.362554,58.073679,red_b,true
1186,22.100000,0.291557,76.732247,61.770606,red_b,true
1187,20.500000,0.270449,75.878483,56.910870,red_b,true
1188,21.200000,0.279683,76.397800,62.481405,red_b,true
1189,20.300000,0.267810,75.686424,56.049524,red_b,true
1190,23.100000,0.304749,76.905131,60.688066,red_b,true
1191,21.300000,0.281003,75.984232,55.076419,red_b,true
1192,22.300000,0.294195,76.716374,62.237040,red_b,true
1193,21.600000,0.284960,76.687526,62.035439,red_b,true
1194,20.600000,0.271768,76.082168,59.097874,red_b,true
1195,22.100000,0.291557,76.752175,62.057378,red_b,true
1196,22.300000,0.294195,76.999169,63.408366,red_b,true
1197,22.500000,0.296834,77.309284,65.611691,red_b,true
1198,20.900000,0.275726,75.769187,54.937341,red_b,true
1199,21.500000,0.283641,75.830799,53.886770,red_b,true
1200,20.600000,0.271768,75.608064,56.130096,red_b,true
1201,21.700000,0.286280,76.788530,63.043761,red_b,true
1202,20.400000,0.269129,75.722531,55.397916,red_b,true
1203,21.900000,0.288918,76.182658,57.416333,red_b,true
1204,21.400000,0.282322,76.422520,61.233753,red_b,true
1205,20.600000,0.271768,75.232384,52.146709,red_b,true
1206,22.200000,0.292876,76.634891,60.481389,red_b,true
1207,21.500000,0.283641,76.018631,58.782534,red_b,true
1208,20.900000,0.275726,76.123112,59.158715,red_b,true
1209,21.900000,0.288918,76.413838,60.974690,red_b,true
1210,21.500000,0.283641,75.878266,55.397879,red_b,true
1211,21.900000,0.288918,76.697191,61.130539,red_b,true
1212,21.300000,0.281003,76.135733,57.962849,red_b,true
1213,21.900000,0.288918,75.980791,57.269755,red_b,true
1214,20.400000,0.269129,75.976549,59.298286,red_b,true
