seed,combat,ratio,rout,left,winner,flank_wins
1486,23.000000,0.303430,77.366574,65.238769,red_b,true
1487,21.200000,0.279683,75.641583,55.241375,red_b,true
1488,21.000000,0.277045,75.764841,57.291838,red_b,true
1489,21.600000,0.284960,76.592465,62.216247,red_b,true
1490,21.100000,0.278364,75.681948,55.490751,red_b,true
1491,20.500000,0.270449,75.779919,55.152598,red_b,true
1492,20.900000,0.275726,75.808062,54.471614,red_b,true
1493,22.600000,0.298153,76.887788,62.590724,red_b,true
1494,21.400000,0.282322,76.325551,59.503005,red_b,true
1495,21.500000,0.283641,75.678865,55.939053,red_b,true
1496,20.800000,0.274406,75.727685,55.328899,red_b,true
1497,21.400000,0.282322,76.827792,63.880647,red_b,true
1498,21.300000,0.281003,75.883232,55.723812,red_b,true
1499,22.600000,0.298153,77.164934,63.460581,red_b,true
