seed,combat,ratio,rout,left,winner,flank_wins
1250,21.800000,0.287599,76.426621,60.713596,red_b,true
1251,22.900000,0.302111,76.952388,61.488534,red_b,true
1252,20.100000,0.265172,75.871323,58.149811,red_b,true
1253,21.100000,0.278364,75.771641,58.148991,red_b,true
1254,20.900000,0.275726,76.263985,58.738043,red_b,true
1255,20.800000,0.274406,76.301403,61.512923,red_b,true
1256,23.100000,0.304749,76.900658,61.566613,red_b,true
1257,19.900000,0.262533,75.785074,57.631440,red_b,true
1258,21.500000,0.283641,75.672020,53.058774,red_b,true
1259,22.000000,0.290237,76.496809,58.613355,red_b,true
1260,23.500000,0.310026,77.189684,64.634082,red_b,true
1261,22.800000,0.300792,76.531130,58.783831,red_b,true
1262,20.100000,0.265172,75.549200,55.136591,red_b,true
1263,22.500000,0.296834,77.479195,66.612461,red_b,true
1264,22.600000,0.298153,76.382774,58.268261,red_b,true
1265,22.300000,0.294195,76.686717,61.437592,red_b,true
1266,20.500000,0.270449,75.901960,57.336617,red_b,true
1267,20.600000,0.271768,75.678334,56.394471,red_b,true
1268,20.400000,0.269129,75.802430,56.966408,red_b,true
1269,20.800000,0.274406,76.015943,58.320381,red_b,true
1270,22.200000,0.292876,76.276198,56.876455,red_b,true
1271,20.600000,0.271768,76.664487,61.644932,red_b,true
1272,20.400000,0.269129,75.094668,53.884080,red_b,true
1273,21.200000,0.279683,76.108695,58.423072,red_b,true
1274,21.800000,0.287599,76.838919,63.451971,red_b,true
1275,21.500000,0.283641,76.731933,62.008469,red_b,true
1276,21.400000,0.282322,75.381353,51.835755,red_b,true
1277,20.900000,0.275726,76.024830,56.666088,red_b,true
1278,23.000000,0.303430,76.344129,56.092200,red_b,true
1279,21.400000,0.282322,76.499535,61.039988,red_b,true
1280,21.300000,0.281003,76.613495,62.258980,red_b,true
1281,22.400000,0.295515,76.648370,62.009218,red_b,true
1282,20.600000,0.271768,76.182559,60.002107,red_b,true
1283,21.300000,0.281003,76.062171,55.736470,red_b,true
1284,20.300000,0.267810,75.548946,54.961149,red_b,true
1285,22.800000,0.300792,77.414889,66.060690,red_b,true
1286,20.900000,0.275726,76.227330,59.391325,red_b,true
1287,20.300000,0.267810,75.691396,54.251276,red_b,true
1288,22.000000,0.290237,76.226034,56.018467,red_b,true
1289,21.900000,0.288918,76.648259,62.588034,red_b,true
1290,21.700000,0.286280,76.218811,58.906718,red_b,true
1291,22.900000,0.302111,76.661555,58.522256,red_b,true
1292,21.600000,0.284960,76.572813,61.799508,red_b,true
1293,20.800000,0.274406,75.719872,56.128314,red_b,true
1294,20.100000,0.265172,75.934380,57.827299,red_b,true
1295,20.500000,0.270449,75.922897,58.206333,red_b,true
1296,22.100000,0.291557,76.570649,60.493432,red_b,true
1297,21.200000,0.279683,76.099268,58.283232,red_b,true
1298,20.400000,0.269129,75.638474,57.636219,red_b,true
1299,21.200000,0.279683,76.167767,58.064033,red_b,true
1300,20.700000,0.273087,75.702935,54.918511,red_b,true
1301,20.300000,0.267810,75.678838,55.617330,red_b,true
1302,22.000000,0.290237,76.532615,58.775156,red_b,true
1303,20.700000,0.273087,75.795967,55.520128,red_b,true
1304,21.700000,0.286280,76.885353,64.791755,red_b,true
1305,20.000000,0.263852,75.477440,55.762543,red_b,true
1306,21.400000,0.282322,76.334779,58.878614,red_b,true
1307,21.800000,0.287599,77.160061,65.622590,red_b,true
1308,21.800000,0.287599,76.819073,64.008860,red_b,true
1309,20.600000,0.271768,76.064141,59.153037,red_b,true
1310,22.900000,0.302111,76.665595,59.997889,red_b,true
1311,23.400000,0.308707,76.911988,60.513914,red_b,true
1312,22.700000,0.299472,76.814195,60.681694,red_b,true
1313,21.300000,0.281003,76.299899,59.839202,red_b,true
1314,22.200000,0.292876,77.369616,66.117066,red_b,true
1315,22.200000,0.292876,76.543291,59.616373,red_b,true
1316,20.400000,0.269129,75.818882,57.584864,red_b,true
1317,20.700000,0.273087,75.679238,56.424498,red_b,true
1318,23.400000,0.308707,76.384647,54.984319,red_b,true
1319,19.900000,0.262533,75.249641,54.208580,red_b,true
1320,21.100000,0.278364,75.865551,57.901865,red_b,true
1321,20.300000,0.267810,75.840415,55.001089,red_b,true
1322,21.700000,0.286280,75.913168,56.446277,red_b,true
1323,22.600000,0.298153,76.754921,61.125157,red_b,true
1324,20.400000,0.269129,76.098761,58.690992,red_b,true
1325,22.100000,0.291557,76.684367,62.071982,red_b,true
1326,22.800000,0.300792,76.721014,61.369029,red_b,true
1327,21.500000,0.283641,76.320600,57.539042,red_b,true
1328,22.300000,0.294195,77.092980,63.989841,red_b,true
1329,20.100000,0.265172,75.544226,55.855990,red_b,true
1330,21.800000,0.287599,76.179898,57.134299,red_b,true
1331,21.100000,0.278364,76.281857,60.949025,red_b,true
1332,21.000000,0.277045,75.912251,55.044519,red_b,true
1333,21.700000,0.286280,75.978476,56.311803,red_b,true
1334,23.600000,0.311346,77.356995,63.545309,red_b,true
1335,20.900000,0.275726,76.460792,61.892775,red_b,true
1336,22.300000,0.294195,76.825188,63.007062,red_b,true
1337,21.200000,0.279683,76.287688,60.284752,red_b,true
1338,21.900000,0.288918,76.416735,60.085991,red_b,true
1339,21.300000,0.281003,75.784716,55.045046,red_b,true
1340,22.200000,0.292876,76.950052,63.357146,red_b,true
1341,22.700000,0.299472,76.961097,61.488432,red_b,true
1342,21.100000,0.278364,76.077106,56.746409,red_b,true
1343,22.300000,0.294195,76.495282,59.409207,red_b,true
1344,20.500000,0.270449,76.393961,63.376866,red_b,true
1345,22.000000,0.290237,76.226035,56.304540,red_b,true
1346,20.300000,0.267810,75.707986,55.319708,red_b,true
1347,20.900000,0.275726,75.958106,57.263370,red_b,true
1348,20.200000,0.266491,75.740921,56.420352,red_b,true
1349,21.900000,0.288918,75.996347,57.647801,red_b,true
1350,21.100000,0.278364,75.947193,56.700201,red_b,true
1351,20.300000,0.267810,75.781443,58.046440,red_b,true
1352,22.100000,0.291557,76.438642,58.644856,red_b,true
1353,22.700000,0.299472,76.799221,61.959580,red_b,true
1354,22.100000,0.291557,76.543276,60.226073,red_b,true
1355,21.500000,0.283641,76.441503,57.778832,red_b,true
1356,23.300000,0.307388,76.769300,60.351299,red_b,true
1357,21.300000,0.281003,76.435265,61.232567,red_b,true
1358,21.700000,0.286280,75.997831,57.690923,red_b,true
1359,20.900000,0.275726,76.183240,59.710120,red_b,true
1360,22.900000,0.302111,77.007578,62.758021,red_b,true
1361,20.700000,0.273087,75.716429,56.387795,red_b,true
1362,23.200000,0.306069,76.873793,60.721438,red_b,true
1363,22.300000,0.294195,76.843598,63.027248,red_b,true
1364,21.200000,0.279683,76.156491,58.020174,red_b,true
1365,21.200000,0.279683,76.150026,59.957852,red_b,true
1366,21.800000,0.287599,76.241297,58.462468,red_b,true
1367,21.000000,0.277045,76.123968,58.953664,red_b,true
1368,22.700000,0.299472,76.935128,60.724548,red_b,true
1369,20.800000,0.274406,75.960139,56.322121,red_b,true
1370,20.100000,0.265172,75.343228,52.499748,red_b,true
1371,21.400000,0.282322,76.446377,58.838136,red_b,true
1372,20.300000,0.267810,75.684761,56.866350,red_b,true
1373,21.600000,0.284960,76.238122,56.870911,red_b,true
1374,22.300000,0.294195,75.998378,55.806399,red_b,true
